LineOID,temperature-0,temperature-1,temperature-2,temperature-3,temperature-4,temperature-5,temperature-6,temperature-7,temperature-8,temperature-9,temperature-10,temperature-11,temperature-12,temperature-13,temperature-14,temperature-15,temperature-16,temperature-17,temperature-18,temperature-19,temperature-20,temperature-21,temperature-22,temperature-23,temperature-24,temperature-25,temperature-26,temperature-27,temperature-28,temperature-29,temperature-30,temperature-31,temperature-32,temperature-33,temperature-34,temperature-35,temperature-36,temperature-37,temperature-38,temperature-39,temperature-40,temperature-41,temperature-42,temperature-43,temperature-44,temperature-45
854,-0.5,-0.19977999999999999,-0.130177,0.163913,0.493942,0.896265,1.516757,1.6906130000000001,2.0872029999999997,2.494427,2.95417,3.4388400000000003,3.6142519999999996,4.097943,4.818332,5.100471,6.2797480000000006,6.211832,7.4245600000000005,8.688168,10.072051,9.750216,11.387792999999999,11.831821000000001,11.977893,12.036564,11.849447999999999,12.068488,12.130544,10.925017,10.847998,9.779846000000001,8.819971,7.593228999999999,2.784809,3.727154,4.40307,4.8126489999999995,2.655863,2.893839,2.5779099999999997,2.6390740000000004,1.849862,2.053597,1.520944,1.118218
855,-0.5,-0.14469100000000001,-0.10300999999999999,0.19358599999999998,0.5146930000000001,0.9166040000000001,1.53846,1.712345,2.110204,2.567501,2.958455,3.467103,3.697939,4.129417,4.881871,5.342313,6.381808,6.624755,7.665004,8.825952000000001,10.113605,9.775232,11.442568,11.928371,12.067536,12.113154,11.920452000000001,12.070142,12.237917,11.004525,11.030342999999998,9.860777,8.950582,7.711859,2.92928,3.7581059999999997,4.473141,4.857792,2.768888,2.938614,2.64336,2.6379029999999997,1.9798240000000003,2.0570720000000002,1.6491810000000002,1.195842
856,-0.5,-0.070923,-0.075034,0.230262,0.5418149999999999,0.95119,1.574165,1.743543,2.132568,2.613271,2.989378,3.438085,3.699102,4.140271,4.822456,5.330044,6.389864,6.525636,7.630808999999999,8.802267,9.512664,9.740446,11.338669,11.787809,12.018193,12.102412,11.862915,12.057433999999999,12.091186,11.116147,11.100575,9.813814,8.960519,7.675992,2.9655009999999997,3.683068,4.419875,4.7176,2.7197299999999998,2.837437,2.5705259999999996,2.602267,1.855596,2.050886,1.702337,1.159232
857,-0.5,-0.07246,-0.060457000000000004,0.21457600000000002,0.5409470000000001,0.9555389999999999,1.531633,1.7427400000000002,2.145786,2.60711,2.988276,3.69964,3.9051620000000002,4.329168,5.039318,5.600016,6.841242,6.883789999999999,7.948179,9.069965,9.887311,10.070744,11.554808,12.087829,12.253634,12.288356,12.158624,12.270653,12.41106,11.421905,11.361475,10.010183,9.135993,7.948983,3.196108,3.9573449999999997,4.647479,4.9481459999999995,2.960955,3.110399,2.7672369999999997,2.717693,2.104507,2.148676,1.801995,1.304834
858,-0.5,-0.031022000000000004,-0.034845,0.248731,0.595192,0.9960610000000001,1.612233,1.7791299999999999,2.1716509999999998,2.530641,3.052767,3.52538,3.725879,4.170641000000001,4.801831,5.333692,6.161383,6.436196,7.6524350000000005,8.8882,9.770565,9.499153,9.184204,10.091027,11.652196,12.416658,12.186691,12.438411,12.597238,11.529143,11.310289,10.18962,9.219337,8.129955,3.57191,4.308888,5.030505000000001,5.338094,3.6803169999999996,3.349972,3.001239,3.142857,1.792548,2.560263,2.1025259999999997,1.4667860000000001
859,-0.5,-0.082129,-0.017196,0.250471,0.572946,0.9894860000000001,1.533384,1.7797450000000001,2.1947509999999997,2.542452,3.0427419999999996,3.88266,4.016515,4.2952580000000005,5.30446,5.639293,7.021545,6.801879,8.330422,9.529925,10.296942999999999,10.211634,12.335691,12.434602,12.672367999999999,13.385551999999999,13.326519000000001,13.339303,12.823011,11.546051,11.419844,10.299632,9.140003,8.117585,2.953064,3.8609150000000003,4.751481,5.0127239999999995,3.139566,3.076416,2.6970680000000002,2.70352,1.358435,2.117683,1.693827,1.087331
860,-0.5,0.116677,0.151161,0.438845,0.75346,1.166292,1.739569,1.957155,2.367929,2.7130520000000002,3.160766,3.793571,3.98087,4.4455089999999995,5.209805,5.706748999999999,6.809260000000001,6.943034,8.225432000000001,9.58835,10.170900999999999,9.91768,11.535557,12.51498,12.458095,13.20951,13.366470000000001,13.385821,13.047336,12.16663,11.589124,10.485886,9.575543,8.48863,3.3468730000000004,4.25676,4.998354,5.352849,3.3162849999999997,3.362675,3.014354,3.1494560000000003,1.9868169999999998,2.3827380000000002,2.158614,1.596371
861,-0.5,0.09171499999999999,0.160142,0.433622,0.744039,1.151134,1.690982,1.9566869999999998,2.368965,2.7040319999999998,3.27522,3.984267,4.1295470000000005,4.507603,5.5045720000000005,5.910551,7.23123,7.202047,8.3517,9.762357000000002,10.29008,9.928114,11.822286,12.848274,12.612663000000001,13.417785999999998,13.450285999999998,13.46517,13.151421,12.21524,11.741046,10.552132,9.752055,8.615965,3.4707660000000002,4.344907,4.897724,5.327811,3.5671779999999997,3.459117,3.137235,3.1455040000000003,2.134439,2.3809139999999998,2.3475,1.706836
862,-0.5,0.163974,0.13900099999999999,0.39069499999999996,0.688766,1.096442,1.577888,1.9118259999999998,2.3220330000000002,2.712375,3.5450510000000004,4.335999,4.515333999999999,4.713451,6.006121,6.332414,7.941781,7.316978,8.753217,10.704988,11.048684,11.275664,10.96515,11.223239999999999,12.799146,13.378186999999999,13.143320999999998,13.545473000000001,13.637192,12.834684,12.550067,11.114759,10.145569,9.291461,4.163033,5.005455,5.706798,6.089216,4.206882,4.085758,3.568736,3.7292589999999994,2.514707,2.7562439999999997,2.472061,2.1067709999999997
863,-0.5,0.098558,0.13638599999999998,0.402489,0.6955520000000001,1.106317,1.584282,1.919889,2.350453,2.728012,3.678156,4.26221,4.5247720000000005,4.675835,5.857858,6.2199480000000005,7.618213000000001,7.321569,8.464186,10.58102,10.939873,10.955216,12.073784,13.149379000000001,13.45485,13.297885999999998,13.158401999999999,13.350007999999999,13.542639999999999,12.703806,12.387177000000001,10.893705,9.985767,9.152744,3.8384150000000004,4.8794379999999995,5.705148,5.865419,4.065528,3.9297800000000005,3.4440470000000003,3.531281,2.359131,2.6381639999999997,2.370351,1.936425
